name,subGroup,value,year,tcolour
Lloyd George,71 months in office,7,36,#ffb703
Blair,122 months in office,11,36,#ee3224
Brown,35 months in office,13,36,#ee3224
May,34 months in office,30,36,#00539f
Asquith,105 months in office,0,37,#ffb703
Baldwin,87 months in office,1,37,#00539f
Churchill,104 months in office,1,37,#00539f
Attlee,76 months in office,2,37,#ee3224
Eden,22 months in office,2,37,#00539f
Macdonald,82 months in office,3,37,#ee3224
Wilson,94 months in office,3,37,#ee3224
Callaghan,37 months in office,4,37,#ee3224
Cameron,75 months in office,5,37,#00539f
Chamberlain,36 months in office,5,37,#00539f
Heath,45 months in office,5,37,#00539f
Macmillan,82 months in office,5,37,#00539f
Major,78 months in office,5,37,#00539f
Thatcher,139 months in office,6,37,#00539f
Balfour,41 months in office,7,37,#00539f
Lloyd George,71 months in office,7,37,#ffb703
Blair,122 months in office,11,37,#ee3224
Brown,35 months in office,13,37,#ee3224
May,34 months in office,30,37,#00539f
Asquith,105 months in office,0,38,#ffb703
Baldwin,87 months in office,1,38,#00539f
Churchill,104 months in office,1,38,#00539f
Attlee,76 months in office,2,38,#ee3224
Eden,22 months in office,2,38,#00539f
Wilson,94 months in office,3,38,#ee3224
Callaghan,37 months in office,4,38,#ee3224
Cameron,75 months in office,5,38,#00539f
Chamberlain,36 months in office,5,38,#00539f
Heath,45 months in office,5,38,#00539f
Macdonald,82 months in office,5,38,#ee3224
Macmillan,82 months in office,5,38,#00539f
Thatcher,139 months in office,6,38,#00539f
Balfour,41 months in office,7,38,#00539f
Lloyd George,71 months in office,7,38,#ffb703
Major,78 months in office,7,38,#00539f
Blair,122 months in office,11,38,#ee3224
Brown,35 months in office,13,38,#ee3224
May,34 months in office,30,38,#00539f
Asquith,105 months in office,0,39,#ffb703
Baldwin,87 months in office,1,39,#00539f
Churchill,104 months in office,1,39,#00539f
Attlee,76 months in office,2,39,#ee3224
Eden,22 months in office,2,39,#00539f
Callaghan,37 months in office,4,39,#ee3224
Wilson,94 months in office,4,39,#ee3224
