name,subGroup,value,year,tcolour
Chamberlain,36 months in office,0,7,#00539f
Churchill,104 months in office,0,7,#00539f
Eden,22 months in office,0,7,#00539f
Heath,45 months in office,0,7,#00539f
Lloyd George,71 months in office,0,7,#ffb703
Macdonald,82 months in office,0,7,#ee3224
Thatcher,139 months in office,0,7,#00539f
Wilson,94 months in office,0,7,#ee3224
Baldwin,87 months in office,1,7,#00539f
Blair,122 months in office,1,7,#ee3224
Cameron,75 months in office,1,7,#00539f
Macmillan,82 months in office,1,7,#00539f
Major,78 months in office,1,7,#00539f
May,34 months in office,1,7,#00539f
Brown,35 months in office,3,7,#ee3224
Asquith,105 months in office,0,8,#ffb703
Attlee,76 months in office,0,8,#ee3224
Balfour,41 months in office,0,8,#00539f
Callaghan,37 months in office,0,8,#ee3224
Chamberlain,36 months in office,0,8,#00539f
Churchill,104 months in office,0,8,#00539f
Eden,22 months in office,0,8,#00539f
Heath,45 months in office,0,8,#00539f
Macdonald,82 months in office,0,8,#ee3224
Thatcher,139 months in office,0,8,#00539f
Wilson,94 months in office,0,8,#ee3224
Baldwin,87 months in office,1,8,#00539f
Cameron,75 months in office,1,8,#00539f
Lloyd George,71 months in office,1,8,#ffb703
Macmillan,82 months in office,1,8,#00539f
Major,78 months in office,1,8,#00539f
May,34 months in office,1,8,#00539f
Blair,122 months in office,2,8,#ee3224
Brown,35 months in office,3,8,#ee3224
Asquith,105 months in office,0,9,#ffb703
Attlee,76 months in office,0,9,#ee3224
Balfour,41 months in office,0,9,#00539f
Eden,22 months in office,0,9,#00539f
Heath,45 months in office,0,9,#00539f
Macdonald,82 months in office,0,9,#ee3224
Thatcher,139 months in office,0,9,#00539f
Wilson,94 months in office,0,9,#ee3224
Baldwin,87 months in office,1,9,#00539f
Callaghan,37 months in office,1,9,#ee3224
Cameron,75 months in office,1,9,#00539f
Churchill,104 months in office,1,9,#00539f
Macmillan,82 months in office,1,9,#00539f
Major,78 months in office,1,9,#00539f
May,34 months in office,1,9,#00539f
Blair,122 months in office,2,9,#ee3224
Chamberlain,36 months in office,2,9,#00539f
Lloyd George,71 months in office,2,9,#ffb703
Brown,35 months in office,3,9,#ee3224
Asquith,105 months in office,0,10,#ffb703
Attlee,76 months in office,0,10,#ee3224
Balfour,41 months in office,0,10,#00539f
Eden,22 months in office,0,10,#00539f
Heath,45 months in office,0,10,#00539f
Macdonald,82 months in office,0,10,#ee3224
Thatcher,139 months in office,0,10,#00539f
Wilson,94 months in office,0,10,#ee3224
Baldwin,87 months in office,1,10,#00539f
